Id,Name,Account.Name,Owner.Name,Amount,Type,StageName,Probability,CloseDate,CreatedDate,LastActivityDate,LastStageChangeDate,NextStep,Economic_Buyer__c,Technical_Champion__c,Security_Review_Status__c,Competitor__c,Use_Case__c,Description,Loss_Reason__c
006sMB4elzrrNSpAMf,E-commerce Platform - Enterprise AI,E-commerce Platform,Michael Rodriguez,371000,New Business,EB Sign Off,75,2026-01-21,2025-09-20,2025-10-26,2025-10-12,Review MSA terms with legal,Jane Doe (VP Ops),John Smith (CTO),Complete,Google Vertex AI,Code review and development assistance,Evaluating Claude for data analysis and insights. Strong engagement from technical team.,
006YgqmE1JGDwsJeOu,EduPlatform - Enterprise AI,EduPlatform,Robert Taylor,377000,New Business,Solution Mapping,25,2025-12-16,2025-09-10,2025-10-25,2025-10-09,Demo custom use case on Friday 11/8,Jane Doe (VP Ops),,Not Started,Google Vertex AI,Document processing and summarization,Evaluating Claude for code review and development assistance. Strong engagement from technical team.,
006Mz8Ukr99gaNaTFY,DataSystems Inc - Enterprise AI,DataSystems Inc,Sarah Chen,348000,New Business,Solution Mapping,25,2026-01-25,2025-07-21,2025-10-25,2025-10-12,Present to executive committee on 11/12,Jane Doe (VP Ops),,Not Started,OpenAI,Content generation and marketing,Evaluating Claude for data analysis and insights. Strong engagement from technical team.,
0060iiylV6cqVCNAxv,LegalEase - Enterprise AI,LegalEase,Sarah Chen,272000,New Business,Technical Evaluation,50,2025-12-17,2025-07-10,2025-10-28,2025-10-04,Review MSA terms with legal,Jane Doe (VP Ops),John Smith (CTO),In Progress,OpenAI,Sales enablement and prospecting,Evaluating Claude for technical documentation. Strong engagement from technical team.,
006sw5U4ll7TYGsQDX,RealEstate Pro - Enterprise AI,RealEstate Pro,James Kim,79000,New Business,Qualification,10,2025-12-14,2025-09-16,2025-10-26,2025-10-18,Present to executive committee on 11/12,,,Not Started,None identified,Document processing and summarization,Evaluating Claude for legal document review. Strong engagement from technical team.,
006KaED4dEur4EfD8w,FoodService Systems - Enterprise AI,FoodService Systems,Christopher Lee,176000,New Business,Technical Evaluation,50,2025-12-06,2025-08-05,2025-10-12,2025-09-15,Review MSA terms with legal,,,Not Started,None identified,Technical documentation,Evaluating Claude for research and analysis. Strong engagement from technical team.,
006LPr3ee3jn6BX8BS,LogisticsHub - Enterprise AI,LogisticsHub,Michael Rodriguez,387000,New Business,EB Sign Off,75,2025-12-05,2025-08-09,2025-10-28,2025-10-17,Technical deep-dive session scheduled for next week,Jane Doe (VP Ops),John Smith (CTO),Complete,OpenAI,Data analysis and insights,Evaluating Claude for content generation and marketing. Strong engagement from technical team.,
006AUDO3NzGmSQxzYi,ManufactureCo - Enterprise AI,ManufactureCo,Emily Watson,435000,New Business,Qualification,10,2026-01-27,2025-07-09,2025-10-28,2025-10-23,Demo custom use case on Friday 11/8,,,Not Started,None identified,Document processing and summarization,Evaluating Claude for research and analysis. Strong engagement from technical team.,
006TvW3Vq44rPwZZ25,Mining Corp - Enterprise AI,Mining Corp,Christopher Lee,75000,New Business,Qualification,10,2025-12-02,2025-07-18,2025-10-26,2025-10-23,Review MSA terms with legal,,,Not Started,Google Vertex AI,Data analysis and insights,Evaluating Claude for sales enablement and prospecting. Strong engagement from technical team.,
006fIJk4Szz4DGvssM,RetailGiant - Enterprise AI,RetailGiant,Emily Watson,185000,New Business,Technical Evaluation,50,2025-12-14,2025-09-04,2025-10-26,2025-09-29,Technical deep-dive session scheduled for next week,Jane Doe (VP Ops),John Smith (CTO),Complete,None identified,Data analysis and insights,Evaluating Claude for document processing and summarization. Strong engagement from technical team.,
006Ifw876YGbiCdGUu,Non-Profit Org - Enterprise AI,Non-Profit Org,Sarah Chen,468000,New Business,Contract Negotiation,90,2026-01-10,2025-07-09,2025-10-28,2025-10-08,Schedule discovery call with security team,Jane Doe (VP Ops),John Smith (CTO),Complete,Google Vertex AI,Legal document review,Evaluating Claude for document processing and summarization. Strong engagement from technical team.,
006jYQ04suXpa97Jtn,Fashion Retail - Enterprise AI,Fashion Retail,Sarah Chen,184000,New Business,Qualification,10,2026-01-08,2025-09-30,2025-10-27,2025-10-18,Share ROI analysis with finance stakeholder,,,Not Started,None identified,Research and analysis,Evaluating Claude for research and analysis. Strong engagement from technical team.,
